x=0.0465977  density=0.166483
x=0.244978  density=0.165258
x=0.599672  density=0.15855
x=1.107  density=0.137201
x=1.76159  density=0.0919382
x=2.55651  density=0.0373806
x=3.48334  density=0.00692841
x=4.53224  density=0.00044168
x=5.69211  density=7.46284e-06
x=6.95064  density=2.64717e-08
x=8.29449  density=1.61696e-11
x=9.70943  density=1.45895e-15
x=11.1804  density=1.76189e-20
x=12.692  density=2.75047e-26
x=14.2279  density=5.75339e-33
x=15.7721  density=1.80172e-40
x=17.308  density=1.01847e-48
x=18.8196  density=1.34964e-57
x=20.2906  density=5.83473e-67
x=21.7055  density=1.21727e-76
x=23.0494  density=1.90595e-86
x=24.3079  density=3.61409e-96
x=25.4678  density=1.36878e-105
x=26.5167  density=1.71705e-114
x=27.4435  density=1.16959e-122
x=28.2384  density=6.89392e-130
x=28.893  density=5.35958e-136
x=29.4003  density=7.89433e-141
x=29.755  density=2.94393e-144
x=29.9534  density=3.41502e-146
