x=0.0465977  density=0.189311
x=0.244978  density=0.187791
x=0.599672  density=0.179441
x=1.107  density=0.15285
x=1.76159  density=0.0978413
x=2.55651  density=0.0359874
x=3.48334  density=0.0055831
x=4.53224  density=0.00026987
x=5.69211  density=3.06897e-06
x=6.95064  density=6.37951e-09
x=8.29449  density=1.95483e-12
x=9.70943  density=7.47258e-17
x=11.1804  density=3.20058e-22
x=12.692  density=1.47868e-28
x=14.2279  density=7.6622e-36
x=15.7721  density=5.02425e-44
x=17.308  density=5.11087e-53
x=18.8196  density=1.07209e-62
x=20.2906  density=6.64678e-73
x=21.7055  density=1.86565e-83
x=23.0494  density=3.83537e-94
x=24.3079  density=9.72545e-105
x=25.4678  density=5.24608e-115
x=26.5167  density=1.04443e-124
x=27.4435  density=1.31497e-133
x=28.2384  density=1.73947e-141
x=28.893  density=3.82643e-148
x=29.4003  density=2.07682e-153
x=29.755  density=3.81413e-157
x=29.9534  density=2.96621e-159
