x=0.0465977  density=0.171939
x=0.244978  density=0.169396
x=0.599672  density=0.156681
x=1.107  density=0.124139
x=1.76159  density=0.072723
x=2.55651  density=0.0254589
x=3.48334  density=0.00408911
x=4.53224  density=0.000227229
x=5.69211  density=3.32813e-06
x=6.95064  density=1.0051e-08
x=8.29449  density=5.08322e-12
x=9.70943  density=3.66701e-16
x=11.1804  density=3.40377e-21
x=12.692  density=3.91746e-27
x=14.2279  density=5.79407e-34
x=15.7721  density=1.23268e-41
x=17.308  density=4.56522e-50
x=18.8196  density=3.8432e-59
x=20.2906  density=1.03072e-68
x=21.7055  density=1.31371e-78
x=23.0494  density=1.24946e-88
x=24.3079  density=1.44593e-98
x=25.4678  density=3.39461e-108
x=26.5167  density=2.71093e-117
x=27.4435  density=1.22043e-125
x=28.2384  density=4.98632e-133
x=28.893  density=2.84429e-139
x=29.4003  density=3.27965e-144
x=29.755  density=1.02802e-147
x=29.9534  density=1.08114e-149
