x=0.0465977  density=0.204493
x=0.244978  density=0.202763
x=0.599672  density=0.193239
x=1.107  density=0.162912
x=1.76159  density=0.101203
x=2.55651  density=0.0348762
x=3.48334  density=0.00482284
x=4.53224  density=0.000195032
x=5.69211  density=1.71895e-06
x=6.95064  density=2.53379e-09
x=8.29449  density=4.98233e-13
x=9.70943  density=1.09644e-17
x=11.1804  density=2.41163e-23
x=12.692  density=5.09341e-30
x=14.2279  density=1.07616e-37
x=15.7721  density=2.58259e-46
x=17.308  density=8.72259e-56
x=18.8196  density=5.59435e-66
x=20.2906  density=9.95231e-77
x=21.7055  density=7.69338e-88
x=23.0494  density=4.28798e-99
x=24.3079  density=2.98287e-110
x=25.4678  density=4.59661e-121
x=26.5167  density=2.80269e-131
x=27.4435  density=1.19195e-140
x=28.2384  density=6.03379e-149
x=28.893  density=5.89519e-156
x=29.4003  density=1.68412e-161
x=29.755  density=1.96162e-165
x=29.9534  density=1.17973e-167
