x=0.0465977  density=0.173554
x=0.244978  density=0.170971
x=0.599672  density=0.158059
x=1.107  density=0.125041
x=1.76159  density=0.0729888
x=2.55651  density=0.0253685
x=3.48334  density=0.00402378
x=4.53224  density=0.000219269
x=5.69211  density=3.12259e-06
x=6.95064  density=9.07836e-09
x=8.29449  density=4.37104e-12
x=9.70943  density=2.96585e-16
x=11.1804  density=2.55661e-21
x=12.692  density=2.69746e-27
x=14.2279  density=3.61125e-34
x=15.7721  density=6.87115e-42
x=17.308  density=2.25136e-50
x=18.8196  density=1.6615e-59
x=20.2906  density=3.8789e-69
x=21.7055  density=4.28397e-79
x=23.0494  density=3.52444e-89
x=24.3079  density=3.53266e-99
x=25.4678  density=7.21588e-109
x=26.5167  density=5.05264e-118
x=27.4435  density=2.01624e-126
x=28.2384  density=7.40385e-134
x=28.893  density=3.85913e-140
x=29.4003  density=4.14355e-145
x=29.755  density=1.23474e-148
x=29.9534  density=1.26197e-150
