x=0.0465977  density=0.198365
x=0.244978  density=0.19514
x=0.599672  density=0.179069
x=1.107  density=0.138472
x=1.76159  density=0.0765608
x=2.55651  density=0.0238694
x=3.48334  density=0.00313427
x=4.53224  density=0.000127298
x=5.69211  density=1.18885e-06
x=6.95064  density=1.95314e-09
x=8.29449  density=4.49647e-13
x=9.70943  density=1.21679e-17
x=11.1804  density=3.45682e-23
x=12.692  density=9.89971e-30
x=14.2279  density=2.97268e-37
x=15.7721  density=1.05946e-45
x=17.308  density=5.52765e-55
x=18.8196  density=5.66174e-65
x=20.2906  density=1.65021e-75
x=21.7055  density=2.12492e-86
x=23.0494  density=1.98559e-97
x=24.3079  density=2.3053e-108
x=25.4678  density=5.83534e-119
x=26.5167  density=5.68597e-129
x=27.4435  density=3.71753e-138
x=28.2384  density=2.75357e-146
x=28.893  density=3.71095e-153
x=29.4003  density=1.36718e-158
x=29.755  density=1.9074e-162
x=29.9534  density=1.27015e-164
