x=0.0465977  density=0.168081
x=0.244978  density=0.166836
x=0.599672  density=0.160018
x=1.107  density=0.138317
x=1.76159  density=0.092387
x=2.55651  density=0.037297
x=3.48334  density=0.00682592
x=4.53224  density=0.000426643
x=5.69211  density=7.0079e-06
x=6.95064  density=2.39273e-08
x=8.29449  density=1.39129e-11
x=9.70943  density=1.18064e-15
x=11.1804  density=1.32405e-20
x=12.692  density=1.8948e-26
x=14.2279  density=3.58751e-33
x=15.7721  density=1.00474e-40
x=17.308  density=5.02475e-49
x=18.8196  density=5.83715e-58
x=20.2906  density=2.19665e-67
x=21.7055  density=3.97103e-77
x=23.0494  density=5.37829e-87
x=24.3079  density=8.83322e-97
x=25.4678  density=2.9107e-106
x=26.5167  density=3.20144e-115
x=27.4435  density=1.93296e-123
x=28.2384  density=1.02401e-130
x=28.893  density=7.27453e-137
x=29.4003  density=9.97746e-142
x=29.755  density=3.5372e-145
x=29.9534  density=3.98769e-147
