x=0.0465977  density=0.208594
x=0.244978  density=0.205088
x=0.599672  density=0.187639
x=1.107  density=0.143777
x=1.76159  density=0.0777765
x=2.55651  density=0.0232101
x=3.48334  density=0.00282489
x=4.53224  density=0.000101972
x=5.69211  density=8.04235e-07
x=6.95064  density=1.05137e-09
x=8.29449  density=1.80161e-13
x=9.70943  density=3.37503e-18
x=11.1804  density=6.15018e-24
x=12.692  density=1.04538e-30
x=14.2279  density=1.7263e-38
x=15.7721  density=3.14821e-47
x=17.308  density=7.87643e-57
x=18.8196  density=3.66163e-67
x=20.2906  density=4.64312e-78
x=21.7055  density=2.53091e-89
x=23.0494  density=9.907e-101
x=24.3079  density=4.85633e-112
x=25.4678  density=5.33219e-123
x=26.5167  density=2.36073e-133
x=27.4435  density=7.48626e-143
x=28.2384  density=2.92278e-151
x=28.893  density=2.29302e-158
x=29.4003  density=5.50717e-164
x=29.755  density=5.67166e-168
x=29.9534  density=3.18201e-170
