x=0.0465977  density=0.194994
x=0.244978  density=0.191859
x=0.599672  density=0.176232
x=1.107  density=0.136694
x=1.76159  density=0.0761289
x=2.55651  density=0.0240827
x=3.48334  density=0.00324318
x=4.53224  density=0.000136996
x=5.69211  density=1.35353e-06
x=6.95064  density=2.39962e-09
x=8.29449  density=6.09562e-13
x=9.70943  density=1.86467e-17
x=11.1804  density=6.14246e-23
x=12.692  density=2.09317e-29
x=14.2279  density=7.67169e-37
x=15.7721  density=3.41837e-45
x=17.308  density=2.27862e-54
x=18.8196  density=3.03694e-64
x=20.2906  density=1.16818e-74
x=21.7055  density=2.00336e-85
x=23.0494  density=2.50187e-96
x=24.3079  density=3.87192e-107
x=25.4678  density=1.29473e-117
x=26.5167  density=1.64103e-127
x=27.4435  density=1.36556e-136
x=28.2384  density=1.25215e-144
x=28.893  density=2.02102e-151
x=29.4003  density=8.58714e-157
x=29.755  density=1.32559e-160
x=29.9534  density=9.34616e-163
