x=0.0465977  density=0.213773
x=0.244978  density=0.21012
x=0.599672  density=0.191958
x=1.107  density=0.146414
x=1.76159  density=0.0783399
x=2.55651  density=0.022871
x=3.48334  density=0.00267973
x=4.53224  density=9.11887e-05
x=5.69211  density=6.60877e-07
x=6.95064  density=7.70655e-10
x=8.29449  density=1.1393e-13
x=9.70943  density=1.77576e-18
x=11.1804  density=2.59157e-24
x=12.692  density=3.39365e-31
x=14.2279  density=4.15587e-39
x=15.7721  density=5.42145e-48
x=17.308  density=9.39255e-58
x=18.8196  density=2.94168e-68
x=20.2906  density=2.46039e-79
x=21.7055  density=8.72573e-91
x=23.0494  density=2.21067e-102
x=24.3079  density=7.04132e-114
x=25.4678  density=5.09191e-125
x=26.5167  density=1.51957e-135
x=27.4435  density=3.35603e-145
x=28.2384  density=9.51264e-154
x=28.893  density=5.69408e-161
x=29.4003  density=1.10417e-166
x=29.755  density=9.77013e-171
x=29.9534  density=5.03128e-173
