x=0.0465977  density=0.20964
x=0.244978  density=0.207837
x=0.599672  density=0.197899
x=1.107  density=0.166262
x=1.76159  density=0.102249
x=2.55651  density=0.0344755
x=3.48334  density=0.00458765
x=4.53224  density=0.000174798
x=5.69211  density=1.41507e-06
x=6.95064  density=1.85999e-09
x=8.29449  density=3.15459e-13
x=9.70943  density=5.77501e-18
x=11.1804  density=1.01718e-23
x=12.692  density=1.65492e-30
x=14.2279  density=2.59282e-38
x=15.7721  density=4.45078e-47
x=17.308  density=1.04091e-56
x=18.8196  density=4.49753e-67
x=20.2906  density=5.2773e-78
x=21.7055  density=2.65417e-89
x=23.0494  density=9.57454e-101
x=24.3079  density=4.32772e-112
x=25.4678  density=4.39225e-123
x=26.5167  density=1.80519e-133
x=27.4435  density=5.34675e-143
x=28.2384  density=1.965e-151
x=28.893  density=1.46481e-158
x=29.4003  density=3.37866e-164
x=29.755  density=3.38118e-168
x=29.9534  density=1.86649e-170
