x=0.0465977  density=0.201086
x=0.244978  density=0.199404
x=0.599672  density=0.190148
x=1.107  density=0.160677
x=1.76159  density=0.100486
x=2.55651  density=0.0351354
x=3.48334  density=0.00498467
x=4.53224  density=0.000209734
x=5.69211  density=1.95627e-06
x=6.95064  density=3.11257e-09
x=8.29449  density=6.75455e-13
x=9.70943  density=1.68052e-17
x=11.1804  density=4.28636e-23
x=12.692  density=1.07729e-29
x=14.2279  density=2.77831e-37
x=15.7721  density=8.33621e-46
x=17.308  density=3.59722e-55
x=18.8196  density=3.00216e-65
x=20.2906  density=7.04853e-76
x=21.7055  density=7.25676e-87
x=23.0494  density=5.40559e-98
x=24.3079  density=5.01247e-109
x=25.4678  density=1.0204e-119
x=26.5167  density=8.093e-130
x=27.4435  density=4.38066e-139
x=28.2384  density=2.7452e-147
x=28.893  density=3.21224e-154
x=29.4003  density=1.05834e-159
x=29.755  density=1.36399e-163
x=29.9534  density=8.68538e-166
