x=0.0465977  density=0.218993
x=0.244978  density=0.215191
x=0.599672  density=0.196298
x=1.107  density=0.149039
x=1.76159  density=0.0788742
x=2.55651  density=0.0225264
x=3.48334  density=0.00254076
x=4.53224  density=8.15014e-05
x=5.69211  density=5.42761e-07
x=6.95064  density=5.64553e-10
x=8.29449  density=7.20026e-14
x=9.70943  density=9.33723e-19
x=11.1804  density=1.09135e-24
x=12.692  density=1.10099e-31
x=14.2279  density=9.99841e-40
x=15.7721  density=9.33012e-49
x=17.308  density=1.11933e-58
x=18.8196  density=2.36175e-69
x=20.2906  density=1.30291e-80
x=21.7055  density=3.00638e-92
x=23.0494  density=4.92975e-104
x=24.3079  density=1.02028e-115
x=25.4678  density=4.85929e-127
x=26.5167  density=9.77495e-138
x=27.4435  density=1.5035e-147
x=28.2384  density=3.09401e-156
x=28.893  density=1.41305e-163
x=29.4003  density=2.21237e-169
x=29.755  density=1.68192e-173
x=29.9534  density=7.95009e-176
