x=0.0465977  density=0.193315
x=0.244978  density=0.190225
x=0.599672  density=0.174818
x=1.107  density=0.135804
x=1.76159  density=0.0759079
x=2.55651  density=0.0241879
x=3.48334  density=0.00329874
x=4.53224  density=0.000142104
x=5.69211  density=1.44408e-06
x=6.95064  density=2.6595e-09
x=8.29449  density=7.09646e-13
x=9.70943  density=2.30804e-17
x=11.1804  density=8.18697e-23
x=12.692  density=3.04329e-29
x=14.2279  density=1.23228e-36
x=15.7721  density=6.13952e-45
x=17.308  density=4.62579e-54
x=18.8196  density=7.03278e-64
x=20.2906  density=3.10771e-74
x=21.7055  density=6.15054e-85
x=23.0494  density=8.87974e-96
x=24.3079  density=1.58662e-106
x=25.4678  density=6.09793e-117
x=26.5167  density=8.81494e-127
x=27.4435  density=8.27531e-136
x=28.2384  density=8.44269e-144
x=28.893  density=1.49128e-150
x=29.4003  density=6.80467e-156
x=29.755  density=1.10495e-159
x=29.9534  density=8.01619e-162
