x=0.0465977  density=0.187648
x=0.244978  density=0.18615
x=0.599672  density=0.177925
x=1.107  density=0.151732
x=1.76159  density=0.0974468
x=2.55651  density=0.0361015
x=3.48334  density=0.00567267
x=4.53224  density=0.000279682
x=5.69211  density=3.27187e-06
x=6.95064  density=7.066e-09
x=8.29449  density=2.27456e-12
x=9.70943  density=9.24495e-17
x=11.1804  density=4.26402e-22
x=12.692  density=2.14901e-28
x=14.2279  density=1.23029e-35
x=15.7721  density=9.02043e-44
x=17.308  density=1.03718e-52
x=18.8196  density=2.48183e-62
x=20.2906  density=1.76765e-72
x=21.7055  density=5.72587e-83
x=23.0494  density=1.36082e-93
x=24.3079  density=3.98397e-104
x=25.4678  density=2.47001e-114
x=26.5167  density=5.60844e-124
x=27.4435  density=7.96621e-133
x=28.2384  density=1.17248e-140
x=28.893  density=2.82258e-147
x=29.4003  density=1.64521e-152
x=29.755  density=3.17827e-156
x=29.9534  density=2.54333e-158
