x=0.0465977  density=0.205166
x=0.244978  density=0.201754
x=0.599672  density=0.184772
x=1.107  density=0.142014
x=1.76159  density=0.0773845
x=2.55651  density=0.0234329
x=3.48334  density=0.00292516
x=4.53224  density=0.000109826
x=5.69211  density=9.16394e-07
x=6.95064  density=1.29282e-09
x=8.29449  density=2.4445e-13
x=9.70943  density=5.17668e-18
x=11.1804  density=1.09382e-23
x=12.692  density=2.21235e-30
x=14.2279  density=4.45921e-38
x=15.7721  density=1.01672e-46
x=17.308  density=3.24987e-56
x=18.8196  density=1.96592e-66
x=20.2906  density=3.28993e-77
x=21.7055  density=2.38836e-88
x=23.0494  density=1.24947e-99
x=24.3079  density=8.16423e-111
x=25.4678  density=1.1842e-121
x=26.5167  density=6.81972e-132
x=27.4435  density=2.75251e-141
x=28.2384  density=1.33034e-149
x=28.893  density=1.24997e-156
x=29.4003  density=3.46228e-162
x=29.755  density=3.94538e-166
x=29.9534  density=2.34362e-168
