x=0.0465977  density=0.172905
x=0.244978  density=0.1716
x=0.599672  density=0.164445
x=1.107  density=0.141668
x=1.76159  density=0.0937082
x=2.55651  density=0.0370304
x=3.48334  density=0.00652423
x=4.53224  density=0.000384331
x=5.69211  density=5.79964e-06
x=6.95064  density=1.76599e-08
x=8.29449  density=8.85769e-12
x=9.70943  density=6.25322e-16
x=11.1804  density=5.61598e-21
x=12.692  density=6.19124e-27
x=14.2279  density=8.69247e-34
x=15.7721  density=1.74139e-41
x=17.308  density=6.03044e-50
x=18.8196  density=4.71948e-59
x=20.2906  density=1.17144e-68
x=21.7055  density=1.37781e-78
x=23.0494  density=1.20777e-88
x=24.3079  density=1.2889e-98
x=25.4678  density=2.79721e-108
x=26.5167  density=2.07383e-117
x=27.4435  density=8.72035e-126
x=28.2384  density=3.35396e-133
x=28.893  density=1.8179e-139
x=29.4003  density=2.01314e-144
x=29.755  density=6.13191e-148
x=29.9534  density=6.3452e-150
