x=0.0465977  density=0.186649
x=0.244978  density=0.183734
x=0.599672  density=0.169188
x=1.107  density=0.132232
x=1.76159  density=0.0749899
x=2.55651  density=0.0245993
x=3.48334  density=0.00352839
x=4.53224  density=0.0001644
x=5.69211  density=1.86968e-06
x=6.95064  density=4.00952e-09
x=8.29449  density=1.30255e-12
x=9.70943  density=5.4133e-17
x=11.1804  density=2.58164e-22
x=12.692  density=1.35877e-28
x=14.2279  density=8.19648e-36
x=15.7721  density=6.38319e-44
x=17.308  density=7.85018e-53
x=18.8196  density=2.02082e-62
x=20.2906  density=1.55527e-72
x=21.7055  density=5.4597e-83
x=23.0494  density=1.40791e-93
x=24.3079  density=4.46988e-104
x=25.4678  density=2.998e-114
x=26.5167  density=7.33274e-124
x=27.4435  density=1.11511e-132
x=28.2384  density=1.7435e-140
x=28.893  density=4.41723e-147
x=29.4003  density=2.68088e-152
x=29.755  density=5.32967e-156
x=29.9534  density=4.33455e-158
