x=0.0465977  density=0.178427
x=0.244978  density=0.175723
x=0.599672  density=0.162211
x=1.107  density=0.127745
x=1.76159  density=0.0737652
x=2.55651  density=0.0250892
x=3.48334  density=0.00383234
x=4.53224  density=0.000196933
x=5.69211  density=2.57777e-06
x=6.95064  density=6.68629e-09
x=8.29449  density=2.77774e-12
x=9.70943  density=1.56829e-16
x=11.1804  density=1.08278e-21
x=12.692  density=8.8017e-28
x=14.2279  density=8.73854e-35
x=15.7721  density=1.1894e-42
x=17.308  density=2.69869e-51
x=18.8196  density=1.34178e-60
x=20.2906  density=2.06617e-70
x=21.7055  density=1.4847e-80
x=23.0494  density=7.90578e-91
x=24.3079  density=5.14899e-101
x=25.4678  density=6.92693e-111
x=26.5167  density=3.26943e-120
x=27.4435  density=9.08617e-129
x=28.2384  density=2.42238e-136
x=28.893  density=9.63353e-143
x=29.4003  density=8.35141e-148
x=29.755  density=2.13818e-151
x=29.9534  density=2.0059e-153
