x=0.0465977  density=0.155441
x=0.244978  density=0.154349
x=0.599672  density=0.148381
x=1.107  density=0.129398
x=1.76159  density=0.0886816
x=2.55651  density=0.0378876
x=3.48334  density=0.0076716
x=4.53224  density=0.00056142
x=5.69211  density=1.15597e-05
x=6.95064  density=5.35539e-08
x=8.29449  density=4.61806e-11
x=9.70943  density=6.40108e-15
x=11.1804  density=1.29796e-19
x=12.692  density=3.72445e-25
x=14.2279  density=1.56526e-31
x=15.7721  density=1.07118e-38
x=17.308  density=1.42738e-46
x=18.8196  density=4.75409e-55
x=20.2906  density=5.42725e-64
x=21.7055  density=3.08687e-73
x=23.0494  density=1.33386e-82
x=24.3079  density=6.91655e-92
x=25.4678  density=6.94111e-101
x=26.5167  density=2.18564e-109
x=27.4435  density=3.46287e-117
x=28.2384  density=4.30857e-124
x=28.893  density=6.29709e-130
x=29.4003  density=1.52797e-134
x=29.755  density=8.1196e-138
x=29.9534  density=1.15035e-139
