x=0.0465977  density=0.159205
x=0.244978  density=0.156968
x=0.599672  density=0.14576
x=1.107  density=0.11689
x=1.76159  density=0.0704694
x=2.55651  density=0.0261296
x=3.48334  density=0.00463884
x=4.53224  density=0.000301352
x=5.69211  density=5.52498e-06
x=6.95064  density=2.26149e-08
x=8.29449  density=1.69481e-11
x=9.70943  density=1.99589e-15
x=11.1804  density=3.34831e-20
x=12.692  density=7.72472e-26
x=14.2279  density=2.53548e-32
x=15.7721  density=1.31787e-39
x=17.308  density=1.30031e-47
x=18.8196  density=3.13817e-56
x=20.2906  density=2.55297e-65
x=21.7055  density=1.02371e-74
x=23.0494  density=3.10622e-84
x=24.3079  density=1.13486e-93
x=25.4678  density=8.114e-103
x=26.5167  density=1.85505e-111
x=27.4435  density=2.19139e-119
x=28.2384  density=2.1028e-126
x=28.893  density=2.46771e-132
x=29.4003  density=5.03388e-137
x=29.755  density=2.36513e-140
x=29.9534  density=3.12585e-142
