x=0.0465977  density=0.174524
x=0.244978  density=0.173197
x=0.599672  density=0.165929
x=1.107  density=0.142786
x=1.76159  density=0.0941403
x=2.55651  density=0.0369365
x=3.48334  density=0.00642562
x=4.53224  density=0.000371117
x=5.69211  density=5.44411e-06
x=6.95064  density=1.59566e-08
x=8.29449  density=7.61857e-12
x=9.70943  density=5.05844e-16
x=11.1804  density=4.21874e-21
x=12.692  density=4.26349e-27
x=14.2279  density=5.41805e-34
x=15.7721  density=9.70717e-42
x=17.308  density=2.97402e-50
x=18.8196  density=2.04037e-59
x=20.2906  density=4.40849e-69
x=21.7055  density=4.49298e-79
x=23.0494  density=3.40681e-89
x=24.3079  density=3.14898e-99
x=25.4678  density=5.94589e-109
x=26.5167  density=3.86512e-118
x=27.4435  density=1.44063e-126
x=28.2384  density=4.97994e-134
x=28.893  density=2.46645e-140
x=29.4003  density=2.54336e-145
x=29.755  density=7.36472e-149
x=29.9534  density=7.40631e-151
