x=0.0465977  density=0.207919
x=0.244978  density=0.206141
x=0.599672  density=0.196342
x=1.107  density=0.165145
x=1.76159  density=0.101905
x=2.55651  density=0.0346106
x=3.48334  density=0.00466504
x=4.53224  density=0.000181311
x=5.69211  density=1.50998e-06
x=6.95064  density=2.06203e-09
x=8.29449  density=3.67399e-13
x=9.70943  density=7.15147e-18
x=11.1804  density=1.35644e-23
x=12.692  density=2.40743e-30
x=14.2279  density=4.16716e-38
x=15.7721  density=7.9985e-47
x=17.308  density=2.11442e-56
x=18.8196  density=1.04215e-66
x=20.2906  density=1.4048e-77
x=21.7055  density=8.15376e-89
x=23.0494  density=3.40039e-100
x=24.3079  density=1.77453e-111
x=25.4678  density=2.07e-122
x=26.5167  density=9.703e-133
x=27.4435  density=3.24225e-142
x=28.2384  density=1.32578e-150
x=28.893  density=1.08156e-157
x=29.4003  density=2.67909e-163
x=29.755  density=2.82022e-167
x=29.9534  density=1.60193e-169
