x=0.0465977  density=0.162358
x=0.244978  density=0.160047
x=0.599672  density=0.148472
x=1.107  density=0.118706
x=1.76159  density=0.0710541
x=2.55651  density=0.0259713
x=3.48334  density=0.00449693
x=4.53224  density=0.000280957
x=5.69211  density=4.87001e-06
x=6.95064  density=1.84752e-08
x=8.29449  density=1.25494e-11
x=9.70943  density=1.30748e-15
x=11.1804  density=1.89176e-20
x=12.692  density=3.66795e-26
x=14.2279  density=9.86402e-33
x=15.7721  density=4.10091e-40
x=17.308  density=3.16712e-48
x=18.8196  density=5.87417e-57
x=20.2906  density=3.62106e-66
x=21.7055  density=1.09024e-75
x=23.0494  density=2.47527e-85
x=24.3079  density=6.78439e-95
x=25.4678  density=3.67191e-104
x=26.5167  density=6.45378e-113
x=27.4435  density=5.99014e-121
x=28.2384  density=4.64314e-128
x=28.893  density=4.54969e-134
x=29.4003  density=8.04733e-139
x=29.755  density=3.41712e-142
x=29.9534  density=4.26545e-144
