x=0.0465977  density=0.191641
x=0.244978  density=0.188595
x=0.599672  density=0.173407
x=1.107  density=0.134912
x=1.76159  density=0.0756835
x=2.55651  density=0.0242923
x=3.48334  density=0.00335503
x=4.53224  density=0.000147392
x=5.69211  density=1.54058e-06
x=6.95064  density=2.94729e-09
x=8.29449  density=8.26098e-13
x=9.70943  density=2.85661e-17
x=11.1804  density=1.09111e-22
x=12.692  density=4.42433e-29
x=14.2279  density=1.97922e-36
x=15.7721  density=1.10259e-44
x=17.308  density=9.38997e-54
x=18.8196  density=1.62848e-63
x=20.2906  density=8.26679e-74
x=21.7055  density=1.88813e-84
x=23.0494  density=3.15137e-95
x=24.3079  density=6.50106e-106
x=25.4678  density=2.87177e-116
x=26.5167  density=4.73463e-126
x=27.4435  density=5.01444e-135
x=28.2384  density=5.69208e-143
x=28.893  density=1.1003e-149
x=29.4003  density=5.39175e-155
x=29.755  density=9.20949e-159
x=29.9534  density=6.87491e-161
