x=0.0465977  density=0.189972
x=0.244978  density=0.186971
x=0.599672  density=0.171998
x=1.107  density=0.13402
x=1.76159  density=0.0754557
x=2.55651  density=0.0243956
x=3.48334  density=0.00341207
x=4.53224  density=0.000152867
x=5.69211  density=1.6434e-06
x=6.95064  density=3.26598e-09
x=8.29449  density=9.61585e-13
x=9.70943  density=3.53527e-17
x=11.1804  density=1.45405e-22
x=12.692  density=6.43156e-29
x=14.2279  density=3.17864e-36
x=15.7721  density=1.97997e-44
x=17.308  density=1.90593e-53
x=18.8196  density=3.77051e-63
x=20.2906  density=2.19886e-73
x=21.7055  density=5.79581e-84
x=23.0494  density=1.11831e-94
x=24.3079  density=2.66353e-105
x=25.4678  density=1.35232e-115
x=26.5167  density=2.54283e-125
x=27.4435  density=3.03826e-134
x=28.2384  density=3.83729e-142
x=28.893  density=8.11761e-149
x=29.4003  density=4.27185e-154
x=29.755  density=7.67528e-158
x=29.9534  density=5.89563e-160
