x=0.0465977  density=0.184995
x=0.244978  density=0.182123
x=0.599672  density=0.167787
x=1.107  density=0.131336
x=1.76159  density=0.0747519
x=2.55651  density=0.0246996
x=3.48334  density=0.00358767
x=4.53224  density=0.00017047
x=5.69211  density=1.99402e-06
x=6.95064  density=4.44203e-09
x=8.29449  density=1.51582e-12
x=9.70943  density=6.69774e-17
x=11.1804  density=3.43952e-22
x=12.692  density=1.97472e-28
x=14.2279  density=1.31603e-35
x=15.7721  density=1.14597e-43
x=17.308  density=1.59298e-52
x=18.8196  density=4.67773e-62
x=20.2906  density=4.13576e-72
x=21.7055  density=1.67548e-82
x=23.0494  density=4.9949e-93
x=24.3079  density=1.83087e-103
x=25.4678  density=1.4114e-113
x=26.5167  density=3.93717e-123
x=27.4435  density=6.75472e-132
x=28.2384  density=1.17507e-139
x=28.893  density=3.25803e-146
x=29.4003  density=2.12349e-151
x=29.755  density=4.44065e-155
x=29.9534  density=3.71616e-157
