x=0.0465977  density=0.160779
x=0.244978  density=0.158505
x=0.599672  density=0.147114
x=1.107  density=0.117799
x=1.76159  density=0.0707636
x=2.55651  density=0.0260513
x=3.48334  density=0.00456751
x=4.53224  density=0.000290989
x=5.69211  density=5.1874e-06
x=6.95064  density=2.04415e-08
x=8.29449  density=1.45846e-11
x=9.70943  density=1.6155e-15
x=11.1804  density=2.51692e-20
x=12.692  density=5.32323e-26
x=14.2279  density=1.58154e-32
x=15.7721  density=7.35189e-40
x=17.308  density=6.41768e-48
x=18.8196  density=1.3578e-56
x=20.2906  density=9.61531e-66
x=21.7055  density=3.34096e-75
x=23.0494  density=8.769e-85
x=24.3079  density=2.77491e-94
x=25.4678  density=1.72618e-103
x=26.5167  density=3.46025e-112
x=27.4435  density=3.62328e-120
x=28.2384  density=3.12484e-127
x=28.893  density=3.3509e-133
x=29.4003  density=6.36503e-138
x=29.755  density=2.84303e-141
x=29.9534  density=3.65165e-143
