x=0.0465977  density=0.215508
x=0.244978  density=0.211806
x=0.599672  density=0.193402
x=1.107  density=0.14729
x=1.76159  density=0.0785212
x=2.55651  density=0.0227567
x=3.48334  density=0.00263273
x=4.53224  density=8.78432e-05
x=5.69211  density=6.18933e-07
x=6.95064  density=6.94763e-10
x=8.29449  density=9.7777e-14
x=9.70943  density=1.43337e-18
x=11.1804  density=1.94265e-24
x=12.692  density=2.33204e-31
x=14.2279  density=2.58493e-39
x=15.7721  density=3.01581e-48
x=17.308  density=4.62245e-58
x=18.8196  density=1.26913e-68
x=20.2906  density=9.23999e-80
x=21.7055  density=2.83953e-91
x=23.0494  density=6.22285e-103
x=24.3079  density=1.71675e-114
x=25.4678  density=1.08013e-125
x=26.5167  density=2.82629e-136
x=27.4435  density=5.53285e-146
x=28.2384  density=1.40952e-154
x=28.893  density=7.70961e-162
x=29.4003  density=1.39211e-167
x=29.755  density=1.17103e-171
x=29.9534  density=5.86058e-174
