x=0.0465977  density=0.203458
x=0.244978  density=0.200094
x=0.599672  density=0.183342
x=1.107  density=0.14113
x=1.76159  density=0.0771835
x=2.55651  density=0.0235432
x=3.48334  density=0.00297636
x=4.53224  density=0.000113966
x=5.69211  density=9.7811e-07
x=6.95064  density=1.43345e-09
x=8.29449  density=2.84713e-13
x=9.70943  density=6.41049e-18
x=11.1804  density=1.45858e-23
x=12.692  density=3.21808e-30
x=14.2279  density=7.16607e-38
x=15.7721  density=1.82693e-46
x=17.308  density=6.60062e-56
x=18.8196  density=4.55473e-66
x=20.2906  density=8.75638e-77
x=21.7055  density=7.33603e-88
x=23.0494  density=4.43677e-99
x=24.3079  density=3.3471e-110
x=25.4678  density=5.58004e-121
x=26.5167  density=3.66502e-131
x=27.4435  density=1.66883e-140
x=28.2384  density=8.97424e-149
x=28.893  density=9.2278e-156
x=29.4003  density=2.74491e-161
x=29.755  density=3.29024e-165
x=29.9534  density=2.01108e-167
