x=0.0465977  density=0.202787
x=0.244978  density=0.201081
x=0.599672  density=0.191692
x=1.107  density=0.161794
x=1.76159  density=0.100847
x=2.55651  density=0.0350066
x=3.48334  density=0.00490325
x=4.53224  density=0.000202257
x=5.69211  density=1.83384e-06
x=6.95064  density=2.80841e-09
x=8.29449  density=5.80137e-13
x=9.70943  density=1.35747e-17
x=11.1804  density=3.21526e-23
x=12.692  density=7.40777e-30
x=14.2279  density=1.7292e-37
x=15.7721  density=4.64012e-46
x=17.308  density=1.77143e-55
x=18.8196  density=1.29601e-65
x=20.2906  density=2.64867e-76
x=21.7055  density=2.36291e-87
x=23.0494  density=1.52253e-98
x=24.3079  density=1.22281e-109
x=25.4678  density=2.16581e-120
x=26.5167  density=1.50612e-130
x=27.4435  density=7.22631e-140
x=28.2384  density=4.07004e-148
x=28.893  density=4.35181e-155
x=29.4003  density=1.3351e-160
x=29.755  density=1.6358e-164
x=29.9534  density=1.01229e-166
