x=0.0465977  density=0.196677
x=0.244978  density=0.193497
x=0.599672  density=0.177649
x=1.107  density=0.137584
x=1.76159  density=0.0763465
x=2.55651  density=0.0239765
x=3.48334  density=0.00318836
x=4.53224  density=0.000132062
x=5.69211  density=1.26856e-06
x=6.95064  density=2.16498e-09
x=8.29449  density=5.23554e-13
x=9.70943  density=1.50635e-17
x=11.1804  density=4.60815e-23
x=12.692  density=1.43956e-29
x=14.2279  density=4.7757e-37
x=15.7721  density=1.90313e-45
x=17.308  density=1.12234e-54
x=18.8196  density=1.31133e-64
x=20.2906  density=4.39077e-75
x=21.7055  density=6.52482e-86
x=23.0494  density=7.04848e-97
x=24.3079  density=9.44811e-108
x=25.4678  density=2.74878e-118
x=26.5167  density=3.05477e-128
x=27.4435  density=2.2532e-137
x=28.2384  density=1.85692e-145
x=28.893  density=2.7387e-152
x=29.4003  density=1.08356e-157
x=29.755  density=1.59017e-161
x=29.9534  density=1.08959e-163
