x=0.0465977  density=0.188308
x=0.244978  density=0.18535
x=0.599672  density=0.170592
x=1.107  density=0.133126
x=1.76159  density=0.0752245
x=2.55651  density=0.024498
x=3.48334  density=0.00346986
x=4.53224  density=0.000158534
x=5.69211  density=1.75296e-06
x=6.95064  density=3.61885e-09
x=8.29449  density=1.1192e-12
x=9.70943  density=4.37482e-17
x=11.1804  density=1.93756e-22
x=12.692  density=9.34865e-29
x=14.2279  density=5.10449e-36
x=15.7721  density=3.55522e-44
x=17.308  density=3.86822e-53
x=18.8196  density=8.72936e-63
x=20.2906  density=5.84817e-73
x=21.7055  density=1.77893e-83
x=23.0494  density=3.96814e-94
x=24.3079  density=1.09118e-104
x=25.4678  density=6.36759e-115
x=26.5167  density=1.36556e-124
x=27.4435  density=1.84073e-133
x=28.2384  density=2.58667e-141
x=28.893  density=5.98836e-148
x=29.4003  density=3.38427e-153
x=29.755  density=6.39611e-157
x=29.9534  density=5.0554e-159
