x=0.0465977  density=0.201756
x=0.244978  density=0.198438
x=0.599672  density=0.181915
x=1.107  density=0.140245
x=1.76159  density=0.0769793
x=2.55651  density=0.0236527
x=3.48334  density=0.00302827
x=4.53224  density=0.000118255
x=5.69211  density=1.04391e-06
x=6.95064  density=1.58927e-09
x=8.29449  density=3.31584e-13
x=9.70943  density=7.93778e-18
x=11.1804  density=1.94481e-23
x=12.692  density=4.68064e-30
x=14.2279  density=1.15152e-37
x=15.7721  density=3.28254e-46
x=17.308  density=1.34051e-55
x=18.8196  density=1.05518e-65
x=20.2906  density=2.3304e-76
x=21.7055  density=2.25314e-87
x=23.0494  density=1.57534e-98
x=24.3079  density=1.37211e-109
x=25.4678  density=2.62914e-120
x=26.5167  density=1.96949e-130
x=27.4435  density=1.01172e-139
x=28.2384  density=6.05338e-148
x=28.893  density=6.81179e-155
x=29.4003  density=2.17601e-160
x=29.755  density=2.74368e-164
x=29.9534  density=1.7256e-166
