x=0.0465977  density=0.153885
x=0.244978  density=0.15281
x=0.599672  density=0.146944
x=1.107  density=0.128286
x=1.76159  density=0.0882
x=2.55651  density=0.0379482
x=3.48334  density=0.0077813
x=4.53224  density=0.000580771
x=5.69211  density=1.23005e-05
x=6.95064  density=5.9201e-08
x=8.29449  density=5.36275e-11
x=9.70943  density=7.90342e-15
x=11.1804  density=1.72573e-19
x=12.692  density=5.40184e-25
x=14.2279  density=2.50814e-31
x=15.7721  density=1.91925e-38
x=17.308  density=2.89074e-46
x=18.8196  density=1.09829e-54
x=20.2906  density=1.44036e-63
x=21.7055  density=9.4544e-73
x=23.0494  density=4.7229e-82
x=24.3079  density=2.82748e-91
x=25.4678  density=3.26134e-100
x=26.5167  density=1.17124e-108
x=27.4435  density=2.09352e-116
x=28.2384  density=2.89818e-123
x=28.893  density=4.63549e-129
x=29.4003  density=1.20792e-133
x=29.755  density=6.752e-137
x=29.9534  density=9.8431e-139
