x=0.0465977  density=0.206204
x=0.244978  density=0.20445
x=0.599672  density=0.194789
x=1.107  density=0.164029
x=1.76159  density=0.101556
x=2.55651  density=0.0347442
x=3.48334  density=0.00474344
x=4.53224  density=0.000188053
x=5.69211  density=1.61113e-06
x=6.95064  density=2.28586e-09
x=8.29449  density=4.27859e-13
x=9.70943  density=8.85536e-18
x=11.1804  density=1.80873e-23
x=12.692  density=3.50185e-30
x=14.2279  density=6.69692e-38
x=15.7721  density=1.4373e-46
x=17.308  density=4.29472e-56
x=18.8196  density=2.41467e-66
x=20.2906  density=3.73926e-77
x=21.7055  density=2.50469e-88
x=23.0494  density=1.20756e-99
x=24.3079  density=7.27572e-111
x=25.4678  density=9.75484e-122
x=26.5167  density=5.21503e-132
x=27.4435  density=1.96594e-141
x=28.2384  density=8.94432e-150
x=28.893  density=7.9853e-157
x=29.4003  density=2.12421e-162
x=29.755  density=2.35215e-166
x=29.9534  density=1.37477e-168
