x=0.0465977  density=0.150787
x=0.244978  density=0.149748
x=0.599672  density=0.144082
x=1.107  density=0.126063
x=1.76159  density=0.0872245
x=2.55651  density=0.0380599
x=3.48334  density=0.00800317
x=4.53224  density=0.00062131
x=5.69211  density=1.39233e-05
x=6.95064  density=7.23211e-08
x=8.29449  density=7.22937e-11
x=9.70943  density=1.20447e-14
x=11.1804  density=3.04968e-19
x=12.692  density=1.13594e-24
x=14.2279  density=6.43779e-31
x=15.7721  density=6.15912e-38
x=17.308  density=1.18522e-45
x=18.8196  density=5.85956e-54
x=20.2906  density=1.01416e-62
x=21.7055  density=8.86582e-72
x=23.0494  density=5.91912e-81
x=24.3079  density=4.7236e-90
x=25.4678  density=7.19756e-99
x=26.5167  density=3.3623e-107
x=27.4435  density=7.64908e-115
x=28.2384  density=1.31088e-121
x=28.893  density=2.51107e-127
x=29.4003  density=7.54646e-132
x=29.755  density=4.66746e-135
x=29.9534  density=7.20425e-137
