x=0.0465977  density=0.183346
x=0.244978  density=0.180516
x=0.599672  density=0.166389
x=1.107  density=0.13044
x=1.76159  density=0.0745104
x=2.55651  density=0.0247987
x=3.48334  density=0.00364771
x=4.53224  density=0.000176752
x=5.69211  density=2.12647e-06
x=6.95064  density=4.9208e-09
x=8.29449  density=1.76385e-12
x=9.70943  density=8.28626e-17
x=11.1804  density=4.5821e-22
x=12.692  density=2.86964e-28
x=14.2279  density=2.11284e-35
x=15.7721  density=2.05716e-43
x=17.308  density=3.23224e-52
x=18.8196  density=1.08269e-61
x=20.2906  density=1.09968e-71
x=21.7055  density=5.1413e-82
x=23.0494  density=1.7719e-92
x=24.3079  density=7.49864e-103
x=25.4678  density=6.64403e-113
x=26.5167  density=2.1138e-122
x=27.4435  density=4.09128e-131
x=28.2384  density=7.91892e-139
x=28.893  density=2.40282e-145
x=29.4003  density=1.68185e-150
x=29.755  density=3.6996e-154
x=29.9534  density=3.18571e-156
