x=0.0465977  density=0.184337
x=0.244978  density=0.182884
x=0.599672  density=0.174904
x=1.107  density=0.149495
x=1.76159  density=0.0966453
x=2.55651  density=0.0363235
x=3.48334  density=0.00585486
x=4.53224  density=0.000300321
x=5.69211  density=3.71788e-06
x=6.95064  density=8.66638e-09
x=8.29449  density=3.07871e-12
x=9.70943  density=1.41469e-16
x=11.1804  density=7.56643e-22
x=12.692  density=4.53787e-28
x=14.2279  density=3.17101e-35
x=15.7721  density=2.90688e-43
x=17.308  density=4.27032e-52
x=18.8196  density=1.32966e-61
x=20.2906  density=1.24984e-71
x=21.7055  density=5.39199e-82
x=23.0494  density=1.71266e-92
x=24.3079  density=6.68366e-103
x=25.4678  density=5.47411e-113
x=26.5167  density=1.6168e-122
x=27.4435  density=2.92289e-131
x=28.2384  density=5.32562e-139
x=28.893  density=1.53546e-145
x=29.4003  density=1.03218e-150
x=29.755  density=2.20631e-154
x=29.9534  density=1.86933e-156
