x=0.0465977  density=0.176798
x=0.244978  density=0.174134
x=0.599672  density=0.160824
x=1.107  density=0.126844
x=1.76159  density=0.0735099
x=2.55651  density=0.0251836
x=3.48334  density=0.00389539
x=4.53224  density=0.000204129
x=5.69211  density=2.74812e-06
x=6.95064  density=7.4045e-09
x=8.29449  density=3.23118e-12
x=9.70943  density=1.93957e-16
x=11.1804  density=1.44196e-21
x=12.692  density=1.2786e-27
x=14.2279  density=1.40244e-34
x=15.7721  density=2.13436e-42
x=17.308  density=5.47382e-51
x=18.8196  density=3.10452e-60
x=20.2906  density=5.49188e-70
x=21.7055  density=4.55423e-80
x=23.0494  density=2.8035e-90
x=24.3079  density=2.10809e-100
x=25.4678  density=3.2596e-110
x=26.5167  density=1.75467e-119
x=27.4435  density=5.50143e-128
x=28.2384  density=1.63188e-135
x=28.893  density=7.10222e-142
x=29.4003  density=6.61208e-147
x=29.755  density=1.78072e-150
x=29.9534  density=1.71895e-152
