x=0.0465977  density=0.14771
x=0.244978  density=0.146707
x=0.599672  density=0.141236
x=1.107  density=0.123842
x=1.76159  density=0.0862328
x=2.55651  density=0.0381586
x=3.48334  density=0.00822823
x=4.53224  density=0.000664408
x=5.69211  density=1.57533e-05
x=6.95064  density=8.83104e-08
x=8.29449  density=9.74137e-11
x=9.70943  density=1.83476e-14
x=11.1804  density=5.3869e-19
x=12.692  density=2.38765e-24
x=14.2279  density=1.65167e-30
x=15.7721  density=1.97563e-37
x=17.308  density=4.85724e-45
x=18.8196  density=3.12474e-53
x=20.2906  density=7.13747e-62
x=21.7055  density=8.31004e-71
x=23.0494  density=7.41487e-80
x=24.3079  density=7.88761e-89
x=25.4678  density=1.58771e-97
x=26.5167  density=9.64769e-106
x=27.4435  density=2.79345e-113
x=28.2384  density=5.92651e-120
x=28.893  density=1.35963e-125
x=29.4003  density=4.71243e-130
x=29.755  density=3.22499e-133
x=29.9534  density=5.2704e-135
