x=0.0465977  density=0.212042
x=0.244978  density=0.208438
x=0.599672  density=0.190516
x=1.107  density=0.145536
x=1.76159  density=0.0781554
x=2.55651  density=0.0229847
x=3.48334  density=0.00272742
x=4.53224  density=9.46558e-05
x=5.69211  density=7.05618e-07
x=6.95064  density=8.5478e-10
x=8.29449  density=1.32742e-13
x=9.70943  density=2.19978e-18
x=11.1804  density=3.45703e-24
x=12.692  density=4.93819e-31
x=14.2279  density=6.68105e-39
x=15.7721  density=9.74532e-48
x=17.308  density=1.90838e-57
x=18.8196  density=6.81794e-68
x=20.2906  density=6.55095e-79
x=21.7055  density=2.68118e-90
x=23.0494  density=7.85288e-102
x=24.3079  density=2.88782e-113
x=25.4678  density=2.40024e-124
x=26.5167  density=8.1695e-135
x=27.4435  density=2.0355e-144
x=28.2384  density=6.41945e-153
x=28.893  density=4.20517e-160
x=29.4003  density=8.7572e-166
x=29.755  density=8.15084e-170
x=29.9534  density=4.31902e-172
