x=0.0465977  density=0.163303
x=0.244978  density=0.162116
x=0.599672  density=0.155626
x=1.107  density=0.134969
x=1.76159  density=0.0910284
x=2.55651  density=0.0375398
x=3.48334  density=0.0071362
x=4.53224  density=0.000473234
x=5.69211  density=8.46084e-06
x=6.95064  density=3.23914e-08
x=8.29449  density=2.18342e-11
x=9.70943  density=2.22717e-15
x=11.1804  density=3.11888e-20
x=12.692  density=5.7938e-26
x=14.2279  density=1.47929e-32
x=15.7721  density=5.79192e-40
x=17.308  density=4.18302e-48
x=18.8196  density=7.21302e-57
x=20.2906  density=4.11537e-66
x=21.7055  density=1.14347e-75
x=23.0494  density=2.39283e-85
x=24.3079  density=6.04819e-95
x=25.4678  density=3.02605e-104
x=26.5167  density=4.93771e-113
x=27.4435  density=4.28076e-121
x=28.2384  density=3.12362e-128
x=28.893  density=2.90836e-134
x=29.4003  density=4.94053e-139
x=29.755  density=2.03859e-142
x=29.9534  density=2.50383e-144
