 CO-INDEX ARRAY (BEFORE SORTING)
          Index   Time          Heuristic Value
           1  2.9999018E-03           0
           2  2.0000935E-03           0
           3  3.0000210E-03           0
 CO-INDEX ARRAY (AFTER SORTING)
          Index   Time          Heuristic Value
           2  2.0000935E-03           0
           1  2.9999018E-03           0
           3  3.0000210E-03           0
