x=0.0465977  density=0.197697
x=0.244978  density=0.196063
x=0.599672  density=0.187072
x=1.107  density=0.158441
x=1.76159  density=0.099751
x=2.55651  density=0.0353879
x=3.48334  density=0.00515056
x=4.53224  density=0.000225481
x=5.69211  density=2.22572e-06
x=6.95064  density=3.8224e-09
x=8.29449  density=9.15437e-13
x=9.70943  density=2.57494e-17
x=11.1804  density=7.61608e-23
x=12.692  density=2.27782e-29
x=14.2279  density=7.1705e-37
x=15.7721  density=2.68996e-45
x=17.308  density=1.48303e-54
x=18.8196  density=1.61058e-64
x=20.2906  density=4.99041e-75
x=21.7055  density=6.84275e-86
x=23.0494  density=6.81233e-97
x=24.3079  density=8.42038e-108
x=25.4678  density=2.26447e-118
x=26.5167  density=2.33618e-128
x=27.4435  density=1.60946e-137
x=28.2384  density=1.24859e-145
x=28.893  density=1.74978e-152
x=29.4003  density=6.64871e-158
x=29.755  density=9.48134e-162
x=29.9534  density=6.39229e-164
