x=0.0465977  density=0.226019
x=0.244978  density=0.222012
x=0.599672  density=0.202118
x=1.107  density=0.15252
x=1.76159  density=0.079542
x=2.55651  density=0.0220599
x=3.48334  density=0.00236481
x=4.53224  density=7.01092e-05
x=5.69211  density=4.17077e-07
x=6.95064  density=3.72485e-10
x=8.29449  density=3.90148e-14
x=9.70943  density=3.95905e-19
x=11.1804  density=3.44155e-25
x=12.692  density=2.45201e-32
x=14.2279  density=1.49464e-40
x=15.7721  density=8.92271e-50
x=17.308  density=6.55794e-60
x=18.8196  density=8.17204e-71
x=20.2906  density=2.58845e-82
x=21.7055  density=3.36725e-94
x=23.0494  density=3.09124e-106
x=24.3079  density=3.60061e-118
x=25.4678  density=9.8266e-130
x=26.5167  density=1.16828e-140
x=27.4435  density=1.10929e-150
x=28.2384  density=1.48956e-159
x=28.893  density=4.74285e-167
x=29.4003  density=5.58294e-173
x=29.755  density=3.46673e-177
x=29.9534  density=1.46174e-179
