x=0.0465977  density=0.15857
x=0.244978  density=0.157441
x=0.599672  density=0.151267
x=1.107  density=0.131625
x=1.76159  density=0.0896326
x=2.55651  density=0.0377573
x=3.48334  density=0.00745478
x=4.53224  density=0.000524478
x=5.69211  density=1.02062e-05
x=6.95064  density=4.38106e-08
x=8.29449  density=3.42347e-11
x=9.70943  density=4.19749e-15
x=11.1804  density=7.33996e-20
x=12.692  density=1.76995e-25
x=14.2279  density=6.09414e-32
x=15.7721  density=3.3357e-39
x=17.308  density=3.47904e-47
x=18.8196  density=8.90486e-56
x=20.2906  density=7.70285e-65
x=21.7055  density=3.28959e-74
x=23.0494  density=1.06358e-83
x=24.3079  density=4.13737e-93
x=25.4678  density=3.14303e-102
x=26.5167  density=7.60848e-111
x=27.4435  density=9.47132e-119
x=28.2384  density=9.51928e-126
x=28.893  density=1.16167e-131
x=29.4003  density=2.4441e-136
x=29.755  density=1.1738e-139
x=29.9534  density=1.57065e-141
