x=0.0465977  density=0.19601
x=0.244978  density=0.194399
x=0.599672  density=0.185539
x=1.107  density=0.157323
x=1.76159  density=0.0993774
x=2.55651  density=0.0355115
x=3.48334  density=0.00523503
x=4.53224  density=0.000233767
x=5.69211  density=2.37378e-06
x=6.95064  density=4.2354e-09
x=8.29449  density=1.0656e-12
x=9.70943  density=3.18697e-17
x=11.1804  density=1.01508e-22
x=12.692  density=3.31178e-29
x=14.2279  density=1.15181e-36
x=15.7721  density=4.8315e-45
x=17.308  density=3.01087e-54
x=18.8196  density=3.72995e-64
x=20.2906  density=1.32771e-74
x=21.7055  density=2.10098e-85
x=23.0494  density=2.41808e-96
x=24.3079  density=3.45079e-107
x=25.4678  density=1.06663e-117
x=26.5167  density=1.25503e-127
x=27.4435  density=9.75439e-137
x=28.2384  density=8.41961e-145
x=28.893  density=1.29127e-151
x=29.4003  density=5.26916e-157
x=29.755  density=7.904e-161
x=29.9534  density=5.48324e-163
